CODE,Country/Aggregate,Unit of the series,Title,Unit indication,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EST.1.1.0.0.OCPH,Estonia,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-EEK,3.423731719,3.453664596,3.62894,4.11829,4.63151,4.87249,4.91622,5.27206,5.6152,6.14563,6.70723,7.22691,7.89692,8.89656,9.6946,9.22017,7.81377,7.6888,7.97285,8.31756,8.60608,8.89594,9.30366,9.7138,9.92465                                                                                                                                                                                           
IRL.1.1.0.0.OCPH,Ireland,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-IEP,34.4854092,35.99034825,37.23084,39.97377,42.71057,46.29665,50.80455,56.41507,59.33896,61.93524,63.99662,66.69777,71.7936,76.92909,82.4647,82.97945,79.09961,79.78812,78.52561,77.61063,77.44653,79.06059,82.39284,85.0022,86.62848                                                                                                                                                                    
GRC.1.1.0.0.OCPH,Greece,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-GRD,101.1872365,103.2280373,106.26574,109.10827,113.97635,119.18049,123.34857,126.4612,131.04362,137.70767,143.95009,149.14217,153.95177,158.23454,164.68449,170.58661,167.73771,156.80319,141.51845,130.16459,126.82064,127.61066,127.02036,126.98916,127.13274                                                                                                                                           
ESP.1.1.0.0.OCPH,Spain,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-ESP,409.4162217,413.8533235,420.946,431.291,443.627,463.346,485.985,508.145,527.078,542.885,555.821,578.229,601.359,624.197,644.568,640.356,617.205,618.755,604.19,582.94,564.797,573.447,590.733,608.56,623.06                                                                                                                                                                                             
FRA.1.1.0.0.OCPH,France,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-FRF,782.07632,795.17716,808.87158,824.72706,829.16541,862.21335,892.07924,924.78333,948.07479,967.81635,982.1927,1001.35605,1025.56668,1047.54806,1075.17797,1080.79193,1084.08635,1104.506,1111.32824,1106.62576,1112.26374,1121.3815,1137.96694,1161.71655,1173.06261                                                                                                                                    
HRV.1.1.0.0.OCPH,Croatia,Billions,Private final consumption expenditure at 2010 prices,Mrd HRK,NA,NA,133.88943,136.35956,152.52701,150.62271,146.20408,150.93174,157.13156,169.76049,176.42578,183.46914,190.68261,196.89097,209.22189,211.96697,196.27119,193.36373,193.99245,188.10945,184.77891,181.81602,183.87476,190.22967,197.08147                                                                                                                                                                
ITA.1.1.0.0.OCPH,Italy,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-ITL,799.7036528,811.9491981,824.3481,833.0328,860.3884,888.6511,911.2435,932.4451,938.1977,938.5415,946.2973,955.6177,967.964,981.9919,993.3933,982.6502,967.3305,978.9319,978.8153,940.1603,917.058,919.4445,936.616,950.0198,963.0678                                                                                                                                                                     
CYP.1.1.0.0.OCPH,Cyprus,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-CYP,NA,5.580874744,6.94015,7.15804,7.33303,7.75164,7.99366,8.57731,8.91095,9.15228,9.41134,10.08878,10.43797,10.90073,12.01531,12.96348,12.14009,12.54338,12.46023,12.29507,11.57096,11.65034,11.9548,12.35432,12.87712                                                                                                                                                                                    
LVA.1.1.0.0.OCPH,Latvia,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-LVL,NA,NA,6.30641,6.63028,6.97598,7.03919,7.29669,7.4673,7.84621,8.32702,8.99795,9.94005,10.93667,13.0576,14.3907,13.25703,11.1299,11.44242,11.78133,12.1521,12.76608,12.9421,13.26606,13.70246,14.3945                                                                                                                                                                                                    
LTU.1.1.0.0.OCPH,Lithuania,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-LTL,NA,NA,8.76057,9.31299,9.83612,10.30353,10.81549,11.57815,12.06067,12.80737,14.25518,15.80466,17.63866,19.24344,21.63312,22.4668,18.56837,17.94554,18.77081,19.35168,20.1864,20.9871,21.82165,22.89863,23.78961                                                                                                                                                                                      
LUX.1.1.0.0.OCPH,Luxembourg,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-LUF,8.458608877,8.800671836,8.96588,9.14558,9.38692,9.5976,10.17235,10.60472,11.00954,11.49868,11.76218,11.86691,11.85721,12.18512,12.46477,12.63244,12.78107,12.93501,13.12806,13.51103,13.78234,14.09897,14.56581,14.9106,15.31236                                                                                                                                                                   
HUN.1.1.0.0.OCPH,Hungary,Billions,Private final consumption expenditure at 2010 prices,Mrd HUF,NA,NA,10506.8238,10248.63666,10458.64209,10960.46828,11694.19917,12060.584,12605.72954,13597.70362,14745.49597,15056.74268,15498.41897,15751.59857,15931.93804,15738.32783,14693.97905,14300.344,14402.039,14076.23165,14107.53175,14496.35476,15022.45556,15673.57029,16416.25563                                                                                                                         
MLT.1.1.0.0.OCPH,Malta,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-MTL,NA,NA,2.577046081,2.760384944,2.804131664,2.875178693,3.050312746,3.27497,3.35209,3.31767,3.46816,3.53386,3.63446,3.73805,3.76275,3.75503,3.82268,3.8149,3.92675,3.90792,3.98803,4.08022,4.28909,4.40757,4.57756                                                                                                                                                                                        
NLD.1.1.0.0.OCPH,Netherlands,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-NLG,207.1616114,211.203455,216.83104,227.51279,237.01415,250.32666,265.23788,274.95428,280.57674,283.84212,283.47191,285.62605,288.2254,287.77625,293.1711,295.78065,290.20409,290.509,290.711,287.3937,284.62292,285.68964,291.33781,294.59973,300.05005                                                                                                                                             
AUT.1.1.0.0.OCPH,Austria,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-ATS,118.868943,121.2974554,122.33142,125.92667,126.45567,130.12955,133.27548,137.42892,139.18928,140.13852,142.58092,145.89007,149.17029,152.29153,153.97241,155.42948,156.75164,158.31036,160.43976,161.27714,161.1497,161.62162,162.464,164.90385,167.21343                                                                                                                                             
POL.1.1.0.0.OCPH,Poland,Billions,Private final consumption expenditure at 2010 prices,Mrd PLN,432.8503782,449.7580577,466.6216529,506.5944708,543.7758399,570.217773,601.6489328,618.9707582,631.3839541,656.2183209,666.6308816,694.9489017,707.2885897,741.2405871,783.1159615,836.0135159,866.0154785,889.8,917.818,924.6874515,927.6891115,949.9121588,978.3451402,1016.899802,1064.611376                                                                                                            
PRT.1.1.0.0.OCPH,Portugal,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-PTE,84.1570574,84.86249949,86.26857,89.30193,92.28469,96.70757,101.7891,105.54497,106.54683,107.94548,107.64985,110.40514,112.1561,113.84518,116.71838,118.3233,115.55848,118.32906,114.06396,107.79759,106.50661,108.95532,111.45058,113.78103,116.34344                                                                                                                                                
ROM.1.1.0.0.OCPH,Romania,Billions,Private final consumption expenditure at 2010 prices,Mrd RON,138.6857191,141.9804964,160.30942,173.24492,165.53466,175.46654,167.88614,170.30059,186.29428,197.76424,214.14673,247.9418,272.99815,307.7914,351.25055,376.21651,345.96599,333.8088,337.5987,344.57574,347.09506,363.39635,384.90558,414.05238,456.00792                                                                                                                                                  
SVN.1.1.0.0.OCPH,Slovenia,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-SIT,11.85251417,12.32399483,13.45066,13.88651,14.28925,14.70568,15.66697,15.78525,16.165,16.56694,17.13776,17.64729,18.03528,18.2594,19.42286,19.88665,20.06491,20.31646,20.3117,19.81535,19.00215,19.37084,19.77997,20.61144,21.26697                                                                                                                                                                   
SVK.1.1.0.0.OCPH,Slovakia,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-SKK,NA,19.00165431,20.02915662,21.84023751,23.54017497,25.01703418,25.01218488,25.48538302,26.76745177,28.30448819,29.13524293,30.59311443,32.38170335,34.31986092,36.89777851,39.12562636,38.92810538,39.09568,38.87249,38.71587322,38.40956113,38.93496904,39.80195482,40.86961512,42.33271053                                                                                                         
FIN.1.1.0.0.OCPH,Finland,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-FIM,60.039,61.619,64.691,67.12,69.416,72.722,75.193,76.666,78.867,80.943,84.379,87.43,90.254,93.93,97.218,99.279,96.591,99.553,102.47,102.815,102.349,103.128,104.91,106.789,108.507                                                                                                                                                                                                                      
SWE.1.1.0.0.OCPH,Sweden,Billions,Private final consumption expenditure at 2010 prices,Mrd SEK,1076.58,1098.216,1109.963,1130.083,1161.86,1200.216,1248.578,1314.107,1323.714,1358.225,1389.662,1428.423,1467.953,1507.169,1564.363,1567.927,1573.428,1634.64,1665.152,1678.298,1709.494,1745.867,1800.321,1839.355,1879.883                                                                                                                                                                               
GBR.1.1.0.0.OCPH,United Kingdom,Billions,Private final consumption expenditure at 2010 prices,Mrd GBP,660.8664927,682.9466298,697.0344789,723.2039196,757.647935,787.0592418,824.3430718,862.1034255,893.6118395,927.9649152,960.4734234,991.3541137,1021.840422,1038.33851,1064.473716,1058.355136,1027.172465,1034.557,1027.833295,1043.610562,1062.886277,1084.489212,1112.260707,1147.027662,1167.761461                                                                                              
USA.1.1.0.0.OCPH,United States,Billions,Private final consumption expenditure at 2010 prices,Mrd USD,6202.256118,6442.767115,6635.501203,6867.270042,7125.77362,7506.769062,7904.435597,8305.761639,8521.164345,8740.938131,9014.181394,9360.41151,9689.360617,9984.052663,10207.58761,10172.61898,10009.77087,10202.2,10433.15562,10585.33016,10740.04602,11048.05461,11450.49884,11763.38677,12087.25322                                                                                                
JPN.1.1.0.0.OCPH,Japan,Billions,Private final consumption expenditure at 2010 prices,Mrd JPY,240281.6769,245754.2129,251888.591,257143.1244,258924.9357,257404.6646,260390.4051,264494.5038,269515.7527,272701.4945,274497.9867,278096.0992,281531.4153,284443.5506,287105.2066,284188.8481,282182.8021,288956.4,287839.8519,293680.0099,300636.1128,298059.2235,297962.7925,298147.7107,301128.9264                                                                                                      
EU28.1.1.0.0.OCTG,European Union (28 countries),Billions,Final consumption expenditure of general government at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,2073.786417,2106.423819,2127.351303,2169.127663,2215.766722,2268.023687,2321.798798,2376.899856,2429.123999,2470.18558,2518.366121,2568.88135,2614.931549,2676.547834,2735.694107,2754.885554,2751.49131,2749.960185,2759.998469,2791.037709,2829.615499,2876.448459,2904.488954   
EU27.1.1.0.0.OCTG,European Union (27 countries),Billions,Final consumption expenditure of general government at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,1806.658043,1837.288235,1858.893969,1890.580061,1927.611041,1970.456432,2010.048166,2051.611872,2089.045441,2114.430924,2146.866554,2191.122012,2233.770992,2288.736255,2343.669181,2361.719625,2357.895293,2351.581804,2362.438021,2384.723348,2417.571409,2461.874302,2490.608051
EA17.1.1.0.0.OCTG,Euro area (17 countries),Billions,Final consumption expenditure of general government at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,1554.163046,1582.962069,1602.502115,1628.01502,1657.769192,1696.020641,1731.62262,1766.101613,1796.861793,1819.825549,1847.469692,1885.051717,1925.15706,1971.636199,2019.319383,2034.66832,2032.51801,2025.795119,2032.749024,2047.612451,2074.571737,2112.037449,2136.232102          
EA18.1.1.0.0.OCTG,Euro area (18 countries),Billions,Final consumption expenditure of general government at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,1557.072917,1585.829815,1605.436438,1631.178107,1660.949485,1699.160381,1734.90445,1769.49484,1800.370129,1823.438575,1851.175815,1888.942832,1929.16876,1975.745778,2022.878787,2037.935398,2035.884313,2029.172866,2036.187234,2051.120032,2078.147542,2115.716763,2140.081789        
EA19.1.1.0.0.OCTG,Euro area (19 countries),Billions,Final consumption expenditure of general government at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,1561.707571,1590.519887,1610.253199,1636.173064,1665.823364,1704.079132,1739.903864,1774.597494,1805.621811,1828.865732,1856.76578,1894.649557,1934.983213,1981.584174,2028.62449,2043.498778,2041.427893,2034.790072,2041.845503,2056.794468,2083.829187,2121.469338,2145.901075       
BEL.1.1.0.0.OCTG,Belgium,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-BEF,65.47034677,66.38036477,67.38096,68.30615,68.74431,70.01471,71.89027,74.03561,74.7794,76.77233,77.84428,79.08513,79.59616,80.35308,81.89719,84.24036,85.18197,85.9989,87.0599,88.2878,88.56516,89.10783,89.46162,89.60864,90.81238                                                                                                                                                                    
BGR.1.1.0.0.OCTG,Bulgaria,Billions,Final consumption expenditure of general government at 2010 prices,Mrd BGN,13.5094539,11.9081631,10.93795813,7.843312617,7.168827154,8.478911989,10.05653111,10.47876971,10.57893855,10.6235419,11.4623474,11.99992544,12.08176393,12.75011755,12.60999557,12.83839109,12.07692254,12.31993,12.58804,12.33843845,12.41292037,12.43024469,12.59823336,12.87639908,13.28917222                                                                                                         
CZE.1.1.0.0.OCTG,Czech Republic,Billions,Final consumption expenditure of general government at 2010 prices,Mrd CZK,638.945,662.48,651.763,649.303,670.801,653.696,673.726,669.695,686.797,742.401,787.242,773.275,780.953,785.273,790.188,799.159,821.586,825.313,799.022,783.319,803.156,811.723,827.316,849.472,860.195                                                                                                                                                                                              
DNK.1.1.0.0.OCTG,Denmark,Billions,Final consumption expenditure of general government at 2010 prices,Mrd DKK,348.366,355.506,363.169,374.242,376.151,387.763,400.446,412.188,420.034,428.984,430.025,436.581,441.847,453.065,458.504,473.421,487.752,495.575,492.464,496.195,495.701,505.299,510.686,512.138,515.255                                                                                                                                                                                                    
DEU.1.1.0.0.OCTG,Germany,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-DEM,384.45674,396.49414,405.17686,414.84624,418.34893,426.98231,431.91567,437.78637,440.05571,445.33441,447.75175,444.19973,446.37041,450.66244,457.27314,472.76389,487.0213,493.336,497.97336,503.20272,510.01076,517.90413,532.70421,552.24032,560.77503                                                                                                                                                
EST.1.1.0.0.OCTG,Estonia,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-EEK,2.037982294,2.122841654,2.41028,2.2825,2.2531,2.29482,2.30112,2.22231,2.29264,2.36488,2.46061,2.53478,2.61122,2.75388,2.93628,3.07001,2.97201,2.96133,2.99892,3.09482,3.1777,3.25937,3.3685,3.43409,3.46008                                                                                                                                                                                           
IRL.1.1.0.0.OCTG,Ireland,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-IEP,19.28781978,20.08226356,20.85909,21.4138,22.57497,23.79077,24.89579,26.6123,28.83858,30.23031,30.72644,30.72663,31.59441,32.77282,34.46352,34.6004,33.3493,31.51426,30.94422,30.14093,29.84546,31.0698,31.74331,33.39397,34.00887                                                                                                                                                                     
GRC.1.1.0.0.OCTG,Greece,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-GRD,33.15269981,32.79476719,34.64229,36.46732,35.31239,36.22787,37.5213,38.88458,40.73719,41.84578,43.0965,44.85466,46.69203,49.86786,52.55806,51.3324,52.37115,50.18838,46.66479,43.86491,41.03584,40.47695,40.97538,40.37647,39.94723                                                                                                                                                                    
ESP.1.1.0.0.OCTG,Spain,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-ESP,116.4963194,117.1217602,119.973,121.435,124.688,128.912,133.902,139.763,145.081,150.732,158.155,168.184,177.657,186.486,198.01,209.764,218.434,221.737,221.108,210.733,206.293,205.573,209.859,211.586,214.899                                                                                                                                                                                          
FRA.1.1.0.0.OCTG,France,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-FRF,382.6651,383.99854,384.00146,392.94786,396.95304,394.25402,400.43225,407.64975,411.86727,419.27763,427.3776,436.70094,442.21488,448.15447,456.30119,461.48786,472.60243,478.655,483.69167,491.42541,498.66824,505.17665,510.26105,517.26719,524.06976                                                                                                                                                  
HRV.1.1.0.0.OCTG,Croatia,Billions,Final consumption expenditure of general government at 2010 prices,Mrd HRK,NA,NA,51.98275,50.50623,52.0723,54.09266,55.39659,53.49916,51.27105,54.31977,55.47076,57.23074,58.98168,62.06905,66.13373,65.67076,67.0694,66.64793,66.40279,65.85216,66.21744,67.39619,66.69288,67.137,68.95853                                                                                                                                                                                           
ITA.1.1.0.0.OCTG,Italy,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-ITL,290.2335338,285.1832803,276.1063,278.8532,280.278,283.0742,287.2256,296.1394,308.6671,312.2621,316.4563,319.5023,321.5482,320.3386,321.4724,324.5823,325.7927,327.648,321.6938,317.2585,316.2813,314.0216,312.2413,314.031,314.3753                                                                                                                                                                     
CYP.1.1.0.0.OCTG,Cyprus,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-CYP,NA,1.91055196,1.70153,1.82436,2.02525,2.32312,2.40536,2.32879,2.50686,2.63224,2.83781,2.78733,2.85225,3.05688,3.16,3.36089,3.57133,3.559,3.63403,3.56843,3.27862,3.04369,2.96598,2.9555,3.03495                                                                                                                                                                                                        
LVA.1.1.0.0.OCTG,Latvia,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-LVL,NA,NA,2.75238,2.60425,2.69577,3.04479,3.03612,2.93587,3.09735,3.22002,3.34929,3.47108,3.57469,3.79302,3.91866,4.01422,3.58622,3.29458,3.39464,3.40441,3.46022,3.52456,3.59044,3.68871,3.84104                                                                                                                                                                                                          
LTU.1.1.0.0.OCTG,Lithuania,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-LTL,NA,NA,4.59443,4.59676,4.80301,5.04907,4.82843,4.83565,4.90601,5.00877,5.17758,5.39296,5.58481,5.7023,5.80783,5.82153,5.74501,5.56338,5.54358,5.61483,5.65541,5.67166,5.68098,5.7544,5.82109                                                                                                                                                                                                         
LUX.1.1.0.0.OCTG,Luxembourg,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-LUF,3.697901536,3.734268522,3.90904,4.14801,4.25598,4.37115,4.68757,4.87003,5.23906,5.49157,5.71597,5.91418,6.07567,6.18909,6.42258,6.51388,6.75188,6.84441,6.90047,7.14151,7.40964,7.56036,7.75568,7.91231,8.05587                                                                                                                                                                                    
HUN.1.1.0.0.OCTG,Hungary,Billions,Final consumption expenditure of general government at 2010 prices,Mrd HUF,5754.259532,5328.97682,4970.403803,4818.279528,4773.573179,4782.119994,4843.215484,4920.001973,5093.488642,5367.920904,5637.266072,5764.864684,5948.471152,6025.092998,5619.422187,5796.316808,5877.618546,5854.859,5866.913,5781.501903,6020.332686,6328.342614,6396.351135,6449.162821,6465.987813                                                                                                       
MLT.1.1.0.0.OCTG,Malta,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-MTL,NA,NA,0.9730371739,1.054451109,1.042660981,1.001209374,0.9952936256,1.04928,1.05652,1.08828,1.11969,1.1205,1.10219,1.15565,1.16637,1.30987,1.26618,1.28644,1.32997,1.40551,1.39995,1.49186,1.54707,1.50501,1.49203                                                                                                                                                                                      
NLD.1.1.0.0.OCTG,Netherlands,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-NLG,104.2260945,106.3601787,109.02833,107.67109,111.10167,115.5462,118.06333,121.96265,127.45104,133.01222,136.70743,136.0602,137.71286,149.17892,153.8408,158.7813,166.21227,167.744,167.047,165.11363,165.14472,166.06485,165.93582,168.17521,170.02584                                                                                                                                             
AUT.1.1.0.0.OCTG,Austria,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-ATS,44.21765577,45.52519696,46.72064,47.24381,48.52612,49.98936,51.61896,51.7386,51.55927,51.97024,52.49963,53.30691,54.51193,56.29352,57.08047,59.17475,60.62827,60.63676,60.67928,60.71048,61.17069,61.68072,62.58291,63.91847,64.49774                                                                                                                                                                 
POL.1.1.0.0.OCTG,Poland,Billions,Final consumption expenditure of general government at 2010 prices,Mrd PLN,152.5653583,154.3848689,161.7873083,166.0844611,170.8512608,174.2802713,179.9095504,194.1486416,201.5835464,205.6448878,212.7870374,220.8967337,228.5482498,241.0043602,248.1609983,259.0951427,268.0879747,276.336,271.34,270.4765748,277.3527134,288.6920742,295.5419086,300.8779869,311.082248                                                                                                           
PRT.1.1.0.0.OCTG,Portugal,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-PTE,25.11598878,25.70138957,26.30819,27.07224,27.77003,29.62139,30.63206,31.98147,33.12636,33.99508,34.53254,35.54113,36.49656,36.41381,36.64507,36.79986,37.76531,37.27002,35.84676,34.67069,33.98296,33.82928,34.26645,34.47334,34.41327                                                                                                                                                               
ROM.1.1.0.0.OCTG,Romania,Billions,Final consumption expenditure of general government at 2010 prices,Mrd RON,75.05733827,83.29539981,84.13594,81.77885,82.48327,76.90131,89.83551,88.8162,84.84102,81.46851,89.38802,81.81096,84.85291,80.80425,81.15976,86.74038,89.49107,85.1907,85.3581,85.60704,81.64168,82.28966,82.48798,85.04179,85.62525                                                                                                                                                                        
SVN.1.1.0.0.OCTG,Slovenia,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-SIT,4.518431962,4.611387298,4.72462,4.85013,5.06605,5.26226,5.48602,5.69429,5.85354,6.04274,6.20526,6.3725,6.54363,6.74821,6.87901,7.21802,7.3919,7.35327,7.29905,7.13493,6.98816,6.90372,7.09199,7.26681,7.43715                                                                                                                                                                                        
SVK.1.1.0.0.OCTG,Slovakia,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-SKK,8.133575687,7.261331803,7.522192144,8.379128366,8.460228208,8.97840614,8.369684444,8.751919039,9.234377235,9.553350182,10.1026887,9.821284588,10.51089509,11.4763839,11.5058035,12.25788483,13.02065635,13.23555,13.00279,12.72406137,12.9993634,13.67221492,14.41418818,14.6413658,14.6759169                                                                                                       
FIN.1.1.0.0.OCTG,Finland,Billions,Final consumption expenditure of general government at 2010 prices,Mrd EURO-FIM,33.739,33.793,34.812,35.527,36.715,37.458,38.096,38.579,39.452,40.416,40.941,41.536,42.342,42.816,43.373,44.064,44.752,44.7,44.644,44.867,45.364,45.137,45.233,46.027,46.615                                                                                                                                                                                                                          
SWE.1.1.0.0.OCTG,Sweden,Billions,Final consumption expenditure of general government at 2010 prices,Mrd SEK,776.659,768.412,770.734,769.762,766.216,795.291,809.2,801.86,803.238,820.1,825.601,823.703,826.766,840.09,844.303,855.582,874.876,886.372,893.695,903.597,915.258,929.092,951.478,980.515,984.261                                                                                                                                                                                                           
GBR.1.1.0.0.OCTG,United Kingdom,Billions,Final consumption expenditure of general government at 2010 prices,Mrd GBP,228.7896458,231.3819683,234.5553119,236.1308474,235.3038607,243.740287,251.7922711,259.6960947,270.7713252,281.4931012,293.0060342,305.3575744,317.639392,323.1445669,326.5338566,332.565824,336.3492397,337.275,337.6439484,341.8360156,341.2201333,348.7569452,353.670447,356.3344287,355.8560547                                                                                                 
